 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1,Segmentation:c:1/5 z:30/60 - Series006,34.61,71.10,42.77,0.46,1.39,0.72,0.87
2,Segmentation:c:1/5 z:30/60 - Series006,47.79,82.92,44.86,0.45,1.09,0.92,0.85
3,Segmentation:c:1/5 z:30/60 - Series006,88.93,60.14,51.25,0.69,1.06,0.94,0.94
4,Segmentation:c:1/5 z:30/60 - Series006,47.97,94.09,53.94,0.48,1.49,0.67,0.88
5,Segmentation:c:1/5 z:30/60 - Series006,82.62,99.10,63.01,0.69,1.24,0.81,0.94
6,Segmentation:c:1/5 z:30/60 - Series006,69.24,58.36,71.78,0.30,1.10,0.91,0.85
7,Segmentation:c:1/5 z:30/60 - Series006,59.53,100.38,73.56,0.40,1.27,0.79,0.87
8,Segmentation:c:1/5 z:30/60 - Series006,76.37,59.62,81.44,0.58,1.43,0.70,0.91
9,Segmentation:c:1/5 z:30/60 - Series006,38.35,64.29,88.88,0.38,1.39,0.72,0.82
10,Segmentation:c:1/5 z:30/60 - Series006,52.11,84.92,89.66,0.39,1.31,0.77,0.84
11,Segmentation:c:1/5 z:30/60 - Series006,38.74,71.63,92.31,0.54,1.48,0.68,0.87
