 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1,Segmentation:c:1/5 z:42/84 - Series008,137.11,77.74,37.13,0.61,1.72,0.58,0.88
2,Segmentation:c:1/5 z:42/84 - Series008,76.17,99.89,37.53,0.64,1.64,0.61,0.91
3,Segmentation:c:1/5 z:42/84 - Series008,82.62,85.01,40.76,0.58,1.88,0.53,0.83
4,Segmentation:c:1/5 z:42/84 - Series008,118.13,67.44,41.87,0.70,1.29,0.77,0.93
5,Segmentation:c:1/5 z:42/84 - Series008,176.72,106.30,44.99,0.61,1.17,0.85,0.90
6,Segmentation:c:1/5 z:42/84 - Series008,105.24,91.84,44.93,0.56,1.60,0.63,0.91
7,Segmentation:c:1/5 z:42/84 - Series008,202.34,55.78,51.46,0.56,1.16,0.86,0.90
8,Segmentation:c:1/5 z:42/84 - Series008,114.37,115.28,51.37,0.62,1.71,0.59,0.91
9,Segmentation:c:1/5 z:42/84 - Series008,98.54,122.29,54.79,0.62,2.13,0.47,0.92
10,Segmentation:c:1/5 z:42/84 - Series008,36.16,44.35,56.35,0.54,1.30,0.77,0.85
11,Segmentation:c:1/5 z:42/84 - Series008,101.17,126.39,61.12,0.56,1.96,0.51,0.92
12,Segmentation:c:1/5 z:42/84 - Series008,51.74,37.21,62.89,0.63,1.33,0.75,0.92
13,Segmentation:c:1/5 z:42/84 - Series008,39.42,42.53,62.51,0.55,1.83,0.55,0.87
14,Segmentation:c:1/5 z:42/84 - Series008,61.00,47.09,66.15,0.69,1.49,0.67,0.91
15,Segmentation:c:1/5 z:42/84 - Series008,120.13,130.65,68.81,0.74,1.46,0.68,0.94
16,Segmentation:c:1/5 z:42/84 - Series008,189.14,34.32,74.29,0.53,1.07,0.94,0.89
17,Segmentation:c:1/5 z:42/84 - Series008,64.10,129.06,78.07,0.66,1.45,0.69,0.91
18,Segmentation:c:1/5 z:42/84 - Series008,79.83,134.39,85.61,0.73,1.04,0.96,0.93
19,Segmentation:c:1/5 z:42/84 - Series008,117.22,33.44,86.69,0.78,1.55,0.65,0.95
20,Segmentation:c:1/5 z:42/84 - Series008,94.48,122.92,89.24,0.54,1.21,0.83,0.88
21,Segmentation:c:1/5 z:42/84 - Series008,100.20,133.68,96.87,0.76,1.17,0.85,0.94
22,Segmentation:c:1/5 z:42/84 - Series008,125.48,35.24,96.15,0.44,1.45,0.69,0.89
23,Segmentation:c:1/5 z:42/84 - Series008,84.59,124.57,99.59,0.57,1.34,0.75,0.91
24,Segmentation:c:1/5 z:42/84 - Series008,76.71,37.98,104.26,0.63,1.89,0.53,0.88
25,Segmentation:c:1/5 z:42/84 - Series008,172.62,118.89,108.94,0.57,1.17,0.86,0.92
26,Segmentation:c:1/5 z:42/84 - Series008,87.50,42.42,111.25,0.49,1.54,0.65,0.85
27,Segmentation:c:1/5 z:42/84 - Series008,117.94,112.87,118.39,0.61,1.57,0.64,0.93
28,Segmentation:c:1/5 z:42/84 - Series008,76.96,47.54,117.83,0.59,1.19,0.84,0.87
29,Segmentation:c:1/5 z:42/84 - Series008,146.84,102.92,123.18,0.55,1.27,0.79,0.92
30,Segmentation:c:1/5 z:42/84 - Series008,115.28,59.31,122.70,0.32,1.27,0.79,0.84
31,Segmentation:c:1/5 z:42/84 - Series008,83.59,94.77,129.65,0.56,1.48,0.68,0.89
32,Segmentation:c:1/5 z:42/84 - Series008,119.85,67.41,129.69,0.47,1.11,0.90,0.90
33,Segmentation:c:1/5 z:42/84 - Series008,133.70,85.62,131.23,0.56,1.28,0.78,0.92
34,Segmentation:c:1/5 z:42/84 - Series008,85.47,76.06,130.95,0.60,1.69,0.59,0.90
