 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1,Segmentation:c:1/5 z:31/62 - Series001,59.37,88.59,51.65,0.34,1.40,0.72,0.84
2,Segmentation:c:1/5 z:31/62 - Series001,63.29,72.09,60.27,0.28,1.69,0.59,0.81
3,Segmentation:c:1/5 z:31/62 - Series001,94.22,106.42,70.00,0.50,1.27,0.79,0.90
4,Segmentation:c:1/5 z:31/62 - Series001,81.08,67.02,89.57,0.37,1.53,0.65,0.83
5,Segmentation:c:1/5 z:31/62 - Series001,76.56,98.94,94.69,0.50,1.41,0.71,0.89
6,Segmentation:c:1/5 z:31/62 - Series001,68.80,72.98,97.28,0.51,1.12,0.89,0.89
7,Segmentation:c:1/5 z:31/62 - Series001,107.38,86.36,101.30,0.56,1.06,0.95,0.93
