 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1,Segmentation:c:1/5 z:31/62 - Series002,102.57,78.55,35.99,0.51,1.15,0.87,0.90
2,Segmentation:c:1/5 z:31/62 - Series002,80.50,66.23,36.62,0.49,1.23,0.82,0.90
3,Segmentation:c:1/5 z:31/62 - Series002,100.96,56.10,41.84,0.48,1.53,0.65,0.88
4,Segmentation:c:1/5 z:31/62 - Series002,69.69,91.24,48.63,0.38,1.28,0.78,0.89
5,Segmentation:c:1/5 z:31/62 - Series002,108.66,44.33,63.75,0.51,1.34,0.75,0.90
6,Segmentation:c:1/5 z:31/62 - Series002,75.26,89.06,64.05,0.33,1.42,0.70,0.83
7,Segmentation:c:1/5 z:31/62 - Series002,39.09,77.70,75.64,0.34,1.61,0.62,0.81
8,Segmentation:c:1/5 z:31/62 - Series002,48.63,53.06,77.13,0.33,1.29,0.78,0.83
9,Segmentation:c:1/5 z:31/62 - Series002,63.13,66.07,80.92,0.39,1.15,0.87,0.86
