 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1,MASK_05032025_Shef6WT_D2_Ctrl-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Mark_and_Find 001/Position011:c:1/5 z:34/106 - Mark_and_Find 001/Position011,137.60,235.22,192.93,0.84,1.07,0.93,0.93
2,MASK_05032025_Shef6WT_D2_Ctrl-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Mark_and_Find 001/Position011:c:1/5 z:34/106 - Mark_and_Find 001/Position011,77.89,221.94,195.83,0.80,1.19,0.84,0.91
3,MASK_05032025_Shef6WT_D2_Ctrl-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Mark_and_Find 001/Position011:c:1/5 z:34/106 - Mark_and_Find 001/Position011,75.00,244.61,200.54,0.82,1.23,0.81,0.91
4,MASK_05032025_Shef6WT_D2_Ctrl-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Mark_and_Find 001/Position011:c:1/5 z:34/106 - Mark_and_Find 001/Position011,33.47,204.59,203.12,0.61,1.51,0.66,0.81
5,MASK_05032025_Shef6WT_D2_Ctrl-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Mark_and_Find 001/Position011:c:1/5 z:34/106 - Mark_and_Find 001/Position011,118.39,253.35,208.65,0.74,1.45,0.69,0.93
6,MASK_05032025_Shef6WT_D2_Ctrl-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Mark_and_Find 001/Position011:c:1/5 z:34/106 - Mark_and_Find 001/Position011,106.61,206.59,211.86,0.82,1.44,0.69,0.93
7,MASK_05032025_Shef6WT_D2_Ctrl-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Mark_and_Find 001/Position011:c:1/5 z:34/106 - Mark_and_Find 001/Position011,79.34,268.07,218.35,0.89,1.08,0.93,0.92
8,MASK_05032025_Shef6WT_D2_Ctrl-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Mark_and_Find 001/Position011:c:1/5 z:34/106 - Mark_and_Find 001/Position011,97.11,254.06,217.94,0.81,1.38,0.72,0.94
9,MASK_05032025_Shef6WT_D2_Ctrl-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Mark_and_Find 001/Position011:c:1/5 z:34/106 - Mark_and_Find 001/Position011,86.36,204.94,220.90,0.73,1.30,0.77,0.90
10,MASK_05032025_Shef6WT_D2_Ctrl-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Mark_and_Find 001/Position011:c:1/5 z:34/106 - Mark_and_Find 001/Position011,65.70,255.10,227.01,0.62,1.24,0.81,0.86
11,MASK_05032025_Shef6WT_D2_Ctrl-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Mark_and_Find 001/Position011:c:1/5 z:34/106 - Mark_and_Find 001/Position011,82.23,205.80,232.69,0.84,1.41,0.71,0.93
12,MASK_05032025_Shef6WT_D2_Ctrl-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Mark_and_Find 001/Position011:c:1/5 z:34/106 - Mark_and_Find 001/Position011,145.45,212.81,239.90,0.71,1.58,0.63,0.89
13,MASK_05032025_Shef6WT_D2_Ctrl-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Mark_and_Find 001/Position011:c:1/5 z:34/106 - Mark_and_Find 001/Position011,109.50,256.42,238.05,0.89,1.13,0.88,0.93
14,MASK_05032025_Shef6WT_D2_Ctrl-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Mark_and_Find 001/Position011:c:1/5 z:34/106 - Mark_and_Find 001/Position011,69.83,223.06,241.01,0.61,1.40,0.71,0.84
15,MASK_05032025_Shef6WT_D2_Ctrl-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Mark_and_Find 001/Position011:c:1/5 z:34/106 - Mark_and_Find 001/Position011,62.60,230.59,244.96,0.71,1.23,0.82,0.85
16,MASK_05032025_Shef6WT_D2_Ctrl-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Mark_and_Find 001/Position011:c:1/5 z:34/106 - Mark_and_Find 001/Position011,92.77,249.74,248.08,0.79,1.32,0.76,0.91
17,MASK_05032025_Shef6WT_D2_Ctrl-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Mark_and_Find 001/Position011:c:1/5 z:34/106 - Mark_and_Find 001/Position011,77.69,222.22,254.01,0.78,1.28,0.78,0.90
18,MASK_05032025_Shef6WT_D2_Ctrl-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Mark_and_Find 001/Position011:c:1/5 z:34/106 - Mark_and_Find 001/Position011,84.30,230.07,257.66,0.79,1.27,0.79,0.90
