 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
52,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,49.07,151.19,241.77,0.40,1.37,0.73,0.79
53,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,120.45,244.31,246.66,0.69,1.14,0.87,0.93
54,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,77.62,110.49,250.39,0.47,1.66,0.60,0.86
55,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,43.96,207.96,250.38,0.58,1.71,0.59,0.87
56,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,92.55,223.95,258.14,0.47,1.21,0.83,0.85
57,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,107.55,150.08,257.11,0.36,1.36,0.73,0.87
58,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,65.58,237.43,259.24,0.45,1.40,0.71,0.86
59,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,35.91,187.69,261.37,0.29,1.32,0.76,0.75
60,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,149.54,197.51,267.84,0.32,1.24,0.80,0.86
61,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,111.57,154.90,268.17,0.39,1.44,0.69,0.82
62,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,100.03,180.78,269.60,0.27,1.30,0.77,0.83
63,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,116.29,228.44,272.30,0.63,1.53,0.65,0.91
64,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,33.82,212.00,271.23,0.47,1.24,0.81,0.81
65,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,48.08,221.32,278.79,0.32,1.55,0.64,0.77
66,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,50.94,176.34,279.83,0.50,1.62,0.62,0.88
67,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,84.66,154.19,283.31,0.59,1.15,0.87,0.89
68,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,65.14,162.65,284.57,0.28,1.45,0.69,0.80
69,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,50.78,176.97,285.10,0.40,1.83,0.55,0.82
70,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,122.60,215.72,290.62,0.57,1.42,0.70,0.89
71,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,110.68,196.34,291.42,0.53,1.48,0.68,0.89
72,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,39.56,182.74,293.27,0.34,1.39,0.72,0.77
