 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:83/128 - Series001,64.25,171.09,79.13,0.38,1.42,0.71,0.81
2,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:83/128 - Series001,87.83,157.97,86.90,0.42,1.20,0.83,0.87
3,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:83/128 - Series001,48.18,190.22,90.87,0.34,1.34,0.74,0.74
4,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:83/128 - Series001,84.53,139.33,91.84,0.66,1.26,0.79,0.91
5,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:83/128 - Series001,88.69,152.99,95.75,0.37,1.16,0.86,0.83
6,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:83/128 - Series001,63.96,165.22,100.01,0.50,1.43,0.70,0.85
7,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:83/128 - Series001,100.89,139.98,103.00,0.39,1.55,0.65,0.88
8,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:83/128 - Series001,38.76,210.10,107.64,0.19,1.45,0.69,0.71
9,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:83/128 - Series001,38.23,221.81,118.55,0.31,1.32,0.76,0.72
10,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:83/128 - Series001,144.91,141.14,122.64,0.21,1.22,0.82,0.80
11,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:83/128 - Series001,33.06,191.86,127.39,0.28,1.62,0.62,0.71
12,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:83/128 - Series001,54.42,227.24,133.63,0.22,1.26,0.80,0.72
13,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:83/128 - Series001,35.02,142.56,132.32,0.44,1.84,0.54,0.84
14,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:83/128 - Series001,34.04,206.93,140.14,0.26,1.11,0.90,0.78
15,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:83/128 - Series001,64.53,141.20,163.01,0.28,1.24,0.81,0.74
16,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:83/128 - Series001,71.38,234.00,191.34,0.28,1.88,0.53,0.74
