 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:62/128 - Series001,67.29,154.29,83.62,0.43,1.35,0.74,0.87
2,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:62/128 - Series001,68.84,180.67,87.10,0.54,1.20,0.83,0.88
3,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:62/128 - Series001,164.63,170.05,97.33,0.58,1.16,0.87,0.92
4,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:62/128 - Series001,114.80,157.52,98.04,0.62,1.49,0.67,0.91
5,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:62/128 - Series001,58.70,180.27,101.07,0.66,1.36,0.73,0.89
6,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:62/128 - Series001,83.84,135.25,103.57,0.33,1.38,0.72,0.80
7,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:62/128 - Series001,129.76,153.27,107.10,0.46,1.83,0.55,0.89
8,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:62/128 - Series001,110.68,197.47,108.08,0.46,1.90,0.53,0.89
9,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:62/128 - Series001,148.50,187.26,112.35,0.45,1.23,0.81,0.91
10,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:62/128 - Series001,106.94,148.92,120.50,0.48,1.22,0.82,0.88
11,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:62/128 - Series001,41.62,177.44,119.32,0.35,1.40,0.72,0.71
12,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:62/128 - Series001,150.56,207.95,124.63,0.34,1.38,0.72,0.82
13,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:62/128 - Series001,37.37,127.97,120.72,0.72,1.28,0.78,0.90
14,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:62/128 - Series001,72.01,139.11,122.89,0.62,1.21,0.83,0.91
15,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:62/128 - Series001,83.61,229.37,127.89,0.49,1.39,0.72,0.83
16,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:62/128 - Series001,138.42,132.95,130.44,0.51,1.24,0.81,0.89
17,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:62/128 - Series001,86.75,196.27,129.21,0.28,1.39,0.72,0.79
18,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:62/128 - Series001,96.13,216.21,129.12,0.57,1.39,0.72,0.89
19,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:62/128 - Series001,39.84,233.38,133.32,0.56,1.62,0.62,0.85
20,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:62/128 - Series001,124.19,126.91,140.66,0.63,1.18,0.85,0.90
21,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:62/128 - Series001,93.73,231.66,140.27,0.39,1.58,0.63,0.89
22,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:62/128 - Series001,35.28,217.11,141.59,0.51,1.35,0.74,0.89
23,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:62/128 - Series001,36.10,224.65,146.27,0.36,1.20,0.83,0.78
24,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:62/128 - Series001,54.80,134.85,148.08,0.33,1.67,0.60,0.79
25,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:62/128 - Series001,116.07,241.74,153.84,0.42,1.48,0.67,0.89
