 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1,MASK_05032025_Shef6WT_D2_Ctrl-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Mark_and_Find 001/Position011:c:1/5 z:53/106 - Mark_and_Find 001/Position011,81.40,219.02,193.62,0.69,1.10,0.91,0.88
2,MASK_05032025_Shef6WT_D2_Ctrl-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Mark_and_Find 001/Position011:c:1/5 z:53/106 - Mark_and_Find 001/Position011,88.43,236.95,200.93,0.66,1.54,0.65,0.88
3,MASK_05032025_Shef6WT_D2_Ctrl-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Mark_and_Find 001/Position011:c:1/5 z:53/106 - Mark_and_Find 001/Position011,106.40,209.85,204.56,0.78,1.25,0.80,0.91
4,MASK_05032025_Shef6WT_D2_Ctrl-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Mark_and_Find 001/Position011:c:1/5 z:53/106 - Mark_and_Find 001/Position011,102.27,247.06,206.62,0.54,1.17,0.86,0.81
5,MASK_05032025_Shef6WT_D2_Ctrl-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Mark_and_Find 001/Position011:c:1/5 z:53/106 - Mark_and_Find 001/Position011,40.08,221.73,203.96,0.44,1.03,0.97,0.82
6,MASK_05032025_Shef6WT_D2_Ctrl-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Mark_and_Find 001/Position011:c:1/5 z:53/106 - Mark_and_Find 001/Position011,38.43,205.48,216.90,0.74,1.21,0.83,0.85
7,MASK_05032025_Shef6WT_D2_Ctrl-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Mark_and_Find 001/Position011:c:1/5 z:53/106 - Mark_and_Find 001/Position011,84.92,208.89,225.63,0.61,1.26,0.79,0.82
8,MASK_05032025_Shef6WT_D2_Ctrl-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Mark_and_Find 001/Position011:c:1/5 z:53/106 - Mark_and_Find 001/Position011,85.54,203.90,235.85,0.58,1.24,0.81,0.86
9,MASK_05032025_Shef6WT_D2_Ctrl-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Mark_and_Find 001/Position011:c:1/5 z:53/106 - Mark_and_Find 001/Position011,75.41,235.15,249.02,0.48,1.27,0.79,0.76
10,MASK_05032025_Shef6WT_D2_Ctrl-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Mark_and_Find 001/Position011:c:1/5 z:53/106 - Mark_and_Find 001/Position011,55.37,203.63,247.46,0.74,1.42,0.71,0.89
11,MASK_05032025_Shef6WT_D2_Ctrl-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Mark_and_Find 001/Position011:c:1/5 z:53/106 - Mark_and_Find 001/Position011,66.94,214.25,251.04,0.50,1.33,0.75,0.75
12,MASK_05032025_Shef6WT_D2_Ctrl-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Mark_and_Find 001/Position011:c:1/5 z:53/106 - Mark_and_Find 001/Position011,42.56,251.94,250.57,0.40,1.70,0.59,0.71
