 ,Area,Mean,X,Y,Major,Minor,Angle,Circ.,AR,Round,Solidity
251,51.92,255,100.63,62.15,9.46,6.99,68.70,0.70,1.35,0.74,0.91
252,98.29,255,39.12,67.36,14.21,8.81,114.59,0.70,1.61,0.62,0.93
253,97.74,255,93.86,74.70,13.49,9.22,45.29,0.49,1.46,0.68,0.83
254,96.44,255,58.75,87.32,14.91,8.24,149.86,0.68,1.81,0.55,0.92
255,40.80,255,77.04,90.46,7.33,7.09,165.91,0.74,1.03,0.97,0.90
256,48.57,255,67.05,26.83,9.16,6.75,19.63,0.78,1.36,0.74,0.94
257,83.03,255,53.43,29.82,11.56,9.14,11.57,0.87,1.26,0.79,0.97
258,99.63,255,43.00,43.10,15.03,8.44,70.02,0.72,1.78,0.56,0.94
259,67.84,255,38.51,66.54,11.32,7.63,116.68,0.65,1.48,0.67,0.90
260,82.44,255,94.72,73.84,10.47,10.02,94.90,0.55,1.04,0.96,0.86
261,62.12,255,60.09,87.75,10.45,7.57,152.42,0.53,1.38,0.72,0.86
262,39.75,255,76.76,90.46,7.85,6.45,3.34,0.67,1.22,0.82,0.88
263,58.26,255,66.78,27.04,10.29,7.21,22.21,0.75,1.43,0.70,0.93
264,86.34,255,53.26,29.90,11.82,9.30,11.28,0.87,1.27,0.79,0.97
265,107.13,255,42.95,43.06,15.12,9.02,73.18,0.76,1.68,0.60,0.95
266,42.38,255,100.78,61.73,9.41,5.73,76.38,0.67,1.64,0.61,0.91
267,56.92,255,38.14,66.36,10.14,7.15,114.31,0.71,1.42,0.71,0.93
268,80.44,255,94.99,73.71,11.22,9.13,109.16,0.68,1.23,0.81,0.93
269,43.57,255,86.51,84.33,8.98,6.18,62.02,0.65,1.45,0.69,0.88
270,70.68,255,58.21,87.07,14.05,6.41,160.65,0.39,2.19,0.46,0.80
271,33.41,255,77.13,90.51,6.95,6.12,14.22,0.77,1.13,0.88,0.94
272,64.92,255,66.64,27.18,10.89,7.59,21.64,0.76,1.43,0.70,0.93
273,88.30,255,53.14,29.98,11.96,9.40,11.42,0.87,1.27,0.79,0.97
274,110.61,255,42.88,43.07,15.02,9.38,75.11,0.80,1.60,0.62,0.96
275,34.38,255,101.01,60.64,8.66,5.05,74.49,0.60,1.71,0.58,0.87
276,56.36,255,37.97,66.30,9.67,7.42,114.48,0.79,1.30,0.77,0.94
277,81.20,255,94.94,73.77,11.13,9.29,105.42,0.66,1.20,0.83,0.94
278,55.70,255,86.44,84.29,9.87,7.19,64.54,0.68,1.37,0.73,0.90
279,54.06,255,51.12,85.65,10.33,6.66,148.24,0.63,1.55,0.64,0.91
280,41.11,255,59.94,87.55,8.63,6.07,154.74,0.54,1.42,0.70,0.86
281,30.04,255,77.42,90.71,6.94,5.51,41.62,0.65,1.26,0.79,0.88
282,69.52,255,66.50,27.34,11.28,7.85,20.70,0.75,1.44,0.70,0.94
283,87.72,255,53.01,30.07,11.88,9.40,10.92,0.86,1.26,0.79,0.97
284,108.06,255,42.76,43.20,14.34,9.60,77.15,0.75,1.49,0.67,0.95
285,62.39,255,37.91,66.24,9.83,8.08,117.70,0.79,1.22,0.82,0.94
286,80.54,255,94.87,73.79,10.92,9.39,100.80,0.77,1.16,0.86,0.95
287,64.65,255,86.33,84.26,10.69,7.70,62.35,0.70,1.39,0.72,0.90
288,65.02,255,51.32,85.55,11.99,6.90,150.70,0.62,1.74,0.58,0.88
289,72.61,255,66.35,27.47,11.49,8.04,16.97,0.75,1.43,0.70,0.94
290,85.60,255,52.89,30.13,11.61,9.38,11.72,0.86,1.24,0.81,0.97
291,101.64,255,42.65,43.20,13.38,9.67,76.30,0.76,1.38,0.72,0.95
292,69.81,255,37.88,66.20,10.30,8.63,123.28,0.85,1.19,0.84,0.96
293,75.94,255,94.80,73.81,10.44,9.26,98.59,0.84,1.13,0.89,0.96
294,71.56,255,86.16,84.26,11.05,8.24,56.98,0.68,1.34,0.75,0.92
295,67.08,255,51.14,85.40,11.79,7.24,145.08,0.61,1.63,0.61,0.88
296,72.46,255,66.12,27.63,11.27,8.19,12.19,0.78,1.38,0.73,0.95
297,81.63,255,52.76,30.19,11.15,9.32,13.31,0.86,1.20,0.84,0.97
298,87.74,255,42.65,43.06,11.67,9.57,70.41,0.69,1.22,0.82,0.93
299,34.07,255,100.44,59.88,7.07,6.13,164.36,0.59,1.15,0.87,0.83
300,75.06,255,37.91,66.21,10.54,9.06,125.55,0.85,1.16,0.86,0.95
301,62.53,255,94.70,73.79,9.57,8.32,98.60,0.73,1.15,0.87,0.92
302,75.98,255,85.88,84.25,11.47,8.43,48.94,0.79,1.36,0.73,0.95
303,40.72,255,52.96,86.41,8.30,6.25,30.88,0.50,1.33,0.75,0.83
304,69.44,255,65.97,27.84,11.03,8.02,6.33,0.71,1.38,0.73,0.92
305,73.96,255,52.64,30.22,10.31,9.13,20.93,0.83,1.13,0.89,0.96
306,67.84,255,42.78,42.80,10.12,8.54,31.29,0.59,1.19,0.84,0.88
307,32.98,255,100.09,60.16,7.45,5.64,150.34,0.49,1.32,0.76,0.82
308,79.54,255,37.96,66.16,10.77,9.40,126.76,0.86,1.15,0.87,0.96
309,74.23,255,85.75,84.20,11.39,8.30,46.52,0.81,1.37,0.73,0.95
310,39.38,255,53.21,86.18,8.21,6.11,40.77,0.53,1.34,0.74,0.82
311,61.57,255,65.77,28.09,10.41,7.53,3.30,0.65,1.38,0.72,0.89
