 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,147.93,141.32,44.52,0.58,1.18,0.85,0.90
2,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,74.24,82.76,43.18,0.53,1.04,0.96,0.88
3,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,203.59,101.94,49.78,0.38,2.39,0.42,0.87
4,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,61.07,129.82,42.52,0.42,1.10,0.91,0.81
5,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,106.09,157.77,44.20,0.71,1.60,0.62,0.92
6,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,157.01,92.28,50.22,0.52,1.92,0.52,0.90
7,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,145.29,112.41,48.33,0.66,1.60,0.62,0.92
8,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,212.85,173.73,51.54,0.52,1.22,0.82,0.87
9,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,212.01,67.63,53.44,0.42,1.16,0.86,0.85
10,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,143.24,122.77,52.64,0.61,1.48,0.68,0.91
11,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,73.27,187.60,50.45,0.73,1.03,0.97,0.90
12,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,50.13,77.33,52.12,0.63,2.14,0.47,0.91
13,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,83.85,195.13,54.54,0.70,1.18,0.84,0.92
14,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,80.49,83.16,56.45,0.53,1.28,0.78,0.81
15,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,57.34,132.08,54.59,0.53,1.65,0.60,0.90
