 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
16,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,180.69,160.26,58.69,0.39,1.19,0.84,0.85
17,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,127.01,142.71,58.35,0.45,1.08,0.93,0.85
18,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,45.44,134.03,60.62,0.64,1.50,0.67,0.91
19,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,62.21,110.64,63.43,0.46,1.72,0.58,0.84
20,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,269.77,190.98,68.69,0.46,1.12,0.89,0.82
21,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,82.17,202.67,73.41,0.64,1.07,0.93,0.86
22,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,205.64,42.62,76.40,0.42,2.69,0.37,0.86
23,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,186.94,206.94,82.85,0.72,1.36,0.73,0.91
24,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,174.56,35.13,84.90,0.52,2.05,0.49,0.88
25,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,82.41,195.37,86.51,0.52,1.24,0.81,0.86
26,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,55.78,184.87,87.70,0.58,1.68,0.60,0.85
27,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,97.50,219.46,88.55,0.79,1.18,0.84,0.93
28,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,159.47,32.03,94.67,0.53,1.41,0.71,0.88
29,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,106.70,215.73,96.91,0.72,1.54,0.65,0.91
30,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,116.19,209.07,103.43,0.47,1.99,0.50,0.87
31,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,130.50,27.93,105.31,0.71,1.43,0.70,0.92
32,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,52.36,191.80,110.18,0.55,1.12,0.89,0.83
33,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,88.78,202.91,114.53,0.50,1.15,0.87,0.85
34,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,136.69,26.71,114.86,0.44,2.37,0.42,0.89
35,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,103.63,215.56,116.29,0.73,1.59,0.63,0.91
36,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,117.27,29.05,123.21,0.61,2.04,0.49,0.94
37,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,171.01,214.15,125.72,0.54,2.05,0.49,0.89
38,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,280.65,27.44,136.68,0.41,1.70,0.59,0.86
39,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,114.03,210.43,134.27,0.69,1.65,0.60,0.92
40,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,100.80,224.75,138.38,0.70,1.35,0.74,0.92
41,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,78.08,192.79,139.04,0.32,1.73,0.58,0.71
42,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,107.60,215.26,142.38,0.65,1.16,0.86,0.89
43,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,117.88,43.41,144.15,0.36,1.59,0.63,0.81
44,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,169.81,209.21,153.91,0.67,1.48,0.67,0.92
45,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,62.39,186.60,152.87,0.48,1.34,0.75,0.85
46,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,63.06,33.04,151.73,0.69,1.41,0.71,0.93
47,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,144.50,48.50,156.50,0.52,1.24,0.81,0.87
48,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,165.42,197.55,159.78,0.53,1.06,0.94,0.89
49,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,79.29,180.37,162.26,0.42,1.87,0.53,0.85
50,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,144.08,79.73,163.69,0.47,1.24,0.80,0.85
51,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,102.13,163.16,165.72,0.40,1.61,0.62,0.80
52,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,39.07,109.27,161.39,0.43,1.20,0.84,0.79
53,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,118.42,63.79,165.77,0.41,1.55,0.65,0.86
54,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,91.43,147.95,167.07,0.33,1.12,0.89,0.83
55,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,122.74,94.18,168.78,0.44,1.33,0.75,0.87
56,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,69.49,51.72,167.44,0.67,1.30,0.77,0.89
57,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,190.91,126.37,173.17,0.48,1.18,0.84,0.90
58,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,103.27,192.85,170.35,0.60,1.49,0.67,0.87
59,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,116.79,83.53,173.33,0.57,1.49,0.67,0.90
60,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,85.90,172.15,172.74,0.53,1.61,0.62,0.87
61,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,148.65,110.15,175.52,0.48,1.18,0.85,0.84
62,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,32.70,116.75,170.82,0.58,1.88,0.53,0.92
63,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,64.74,138.84,174.09,0.70,1.13,0.89,0.90
64,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,60.17,178.85,176.60,0.70,1.53,0.65,0.91
65,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,63.18,162.09,175.32,0.46,1.40,0.72,0.83
66,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,48.99,72.33,177.67,0.79,1.28,0.78,0.93
67,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,59.45,197.57,177.96,0.74,1.18,0.85,0.92
68,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,48.09,144.85,179.44,0.50,1.62,0.62,0.84
69,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:1/5 z:40/85 - Series007,105.73,152.39,182.59,0.50,1.29,0.78,0.85
