X,Y,Value
272,325,255
273,325,255
274,325,255
642,325,255
643,325,255
645,325,255
646,325,255
647,325,255
648,325,255
649,325,255
271,326,255
643,326,255
644,326,255
645,326,255
649,326,255
269,327,255
270,327,255
271,327,255
649,327,255
650,327,255
651,327,255
652,327,255
268,328,255
269,328,255
652,328,255
653,328,255
654,328,255
655,328,255
268,329,255
655,329,255
656,329,255
657,329,255
658,329,255
264,330,255
265,330,255
266,330,255
267,330,255
268,330,255
658,330,255
659,330,255
660,330,255
661,330,255
662,330,255
663,330,255
664,330,255
665,330,255
264,331,255
660,331,255
665,331,255
264,332,255
665,332,255
666,332,255
667,332,255
668,332,255
669,332,255
258,333,255
259,333,255
260,333,255
261,333,255
262,333,255
263,333,255
264,333,255
669,333,255
670,333,255
671,333,255
257,334,255
258,334,255
671,334,255
672,334,255
673,334,255
674,334,255
257,335,255
674,335,255
675,335,255
676,335,255
677,335,255
678,335,255
252,336,255
253,336,255
254,336,255
255,336,255
256,336,255
257,336,255
678,336,255
679,336,255
680,336,255
681,336,255
682,336,255
683,336,255
252,337,255
683,337,255
252,338,255
683,338,255
684,338,255
685,338,255
686,338,255
687,338,255
251,339,255
252,339,255
687,339,255
688,339,255
250,340,255
251,340,255
688,340,255
689,340,255
690,340,255
691,340,255
248,341,255
249,341,255
250,341,255
691,341,255
248,342,255
691,342,255
692,342,255
248,343,255
692,343,255
248,344,255
692,344,255
693,344,255
694,344,255
248,345,255
694,345,255
695,345,255
246,346,255
247,346,255
248,346,255
695,346,255
243,347,255
244,347,255
245,347,255
246,347,255
695,347,255
696,347,255
697,347,255
243,348,255
697,348,255
698,348,255
699,348,255
243,349,255
699,349,255
700,349,255
243,350,255
700,350,255
701,350,255
702,350,255
703,350,255
243,351,255
244,351,255
703,351,255
704,351,255
244,352,255
704,352,255
705,352,255
706,352,255
707,352,255
708,352,255
709,352,255
241,353,255
242,353,255
243,353,255
244,353,255
709,353,255
239,354,255
240,354,255
241,354,255
709,354,255
710,354,255
239,355,255
710,355,255
239,356,255
710,356,255
711,356,255
712,356,255
713,356,255
239,357,255
713,357,255
714,357,255
233,358,255
234,358,255
235,358,255
236,358,255
237,358,255
238,358,255
239,358,255
714,358,255
231,359,255
232,359,255
233,359,255
237,359,255
714,359,255
228,360,255
229,360,255
230,360,255
231,360,255
714,360,255
228,361,255
714,361,255
715,361,255
716,361,255
717,361,255
228,362,255
717,362,255
228,363,255
717,363,255
718,363,255
719,363,255
228,364,255
719,364,255
228,365,255
719,365,255
226,366,255
227,366,255
228,366,255
719,366,255
226,367,255
719,367,255
221,368,255
222,368,255
223,368,255
224,368,255
225,368,255
226,368,255
719,368,255
720,368,255
221,369,255
720,369,255
220,370,255
221,370,255
720,370,255
220,371,255
720,371,255
220,372,255
720,372,255
721,372,255
220,373,255
721,373,255
722,373,255
723,373,255
220,374,255
221,374,255
723,374,255
724,374,255
725,374,255
726,374,255
221,375,255
222,375,255
726,375,255
219,376,255
220,376,255
221,376,255
222,376,255
726,376,255
219,377,255
726,377,255
219,378,255
726,378,255
218,379,255
219,379,255
726,379,255
727,379,255
731,379,255
732,379,255
733,379,255
734,379,255
735,379,255
218,380,255
727,380,255
731,380,255
735,380,255
218,381,255
727,381,255
728,381,255
729,381,255
730,381,255
731,381,255
735,381,255
218,382,255
728,382,255
735,382,255
736,382,255
737,382,255
738,382,255
739,382,255
740,382,255
741,382,255
742,382,255
743,382,255
749,382,255
750,382,255
751,382,255
752,382,255
753,382,255
754,382,255
755,382,255
756,382,255
757,382,255
758,382,255
759,382,255
213,383,255
214,383,255
215,383,255
216,383,255
217,383,255
218,383,255
728,383,255
743,383,255
744,383,255
745,383,255
746,383,255
747,383,255
748,383,255
749,383,255
754,383,255
759,383,255
760,383,255
213,384,255
217,384,255
760,384,255
761,384,255
213,385,255
761,385,255
213,386,255
761,386,255
762,386,255
213,387,255
762,387,255
763,387,255
764,387,255
213,388,255
214,388,255
215,388,255
764,388,255
214,389,255
764,389,255
214,390,255
764,390,255
214,391,255
764,391,255
214,392,255
764,392,255
214,393,255
764,393,255
765,393,255
766,393,255
767,393,255
213,394,255
214,394,255
767,394,255
213,395,255
767,395,255
212,396,255
213,396,255
767,396,255
212,397,255
767,397,255
210,398,255
211,398,255
212,398,255
767,398,255
209,399,255
210,399,255
766,399,255
767,399,255
209,400,255
767,400,255
209,401,255
767,401,255
209,402,255
767,402,255
209,403,255
210,403,255
767,403,255
210,404,255
767,404,255
768,404,255
769,404,255
210,405,255
211,405,255
769,405,255
211,406,255
769,406,255
211,407,255
769,407,255
211,408,255
769,408,255
211,409,255
769,409,255
211,410,255
769,410,255
211,411,255
212,411,255
213,411,255
769,411,255
211,412,255
769,412,255
211,413,255
769,413,255
211,414,255
769,414,255
211,415,255
769,415,255
208,416,255
209,416,255
210,416,255
211,416,255
767,416,255
768,416,255
769,416,255
208,417,255
767,417,255
208,418,255
767,418,255
768,418,255
207,419,255
208,419,255
768,419,255
206,420,255
207,420,255
768,420,255
205,421,255
206,421,255
768,421,255
204,422,255
205,422,255
768,422,255
204,423,255
768,423,255
204,424,255
766,424,255
767,424,255
768,424,255
204,425,255
766,425,255
201,426,255
202,426,255
203,426,255
204,426,255
205,426,255
765,426,255
766,426,255
767,426,255
200,427,255
201,427,255
205,427,255
767,427,255
200,428,255
767,428,255
200,429,255
767,429,255
200,430,255
765,430,255
766,430,255
767,430,255
768,430,255
199,431,255
200,431,255
768,431,255
199,432,255
768,432,255
198,433,255
199,433,255
768,433,255
195,434,255
196,434,255
197,434,255
198,434,255
766,434,255
767,434,255
768,434,255
194,435,255
195,435,255
768,435,255
194,436,255
768,436,255
769,436,255
770,436,255
194,437,255
770,437,255
771,437,255
193,438,255
194,438,255
771,438,255
193,439,255
771,439,255
191,440,255
192,440,255
193,440,255
771,440,255
191,441,255
771,441,255
191,442,255
771,442,255
189,443,255
190,443,255
191,443,255
771,443,255
189,444,255
771,444,255
189,445,255
771,445,255
189,446,255
771,446,255
189,447,255
190,447,255
771,447,255
190,448,255
771,448,255
190,449,255
768,449,255
769,449,255
770,449,255
771,449,255
190,450,255
191,450,255
768,450,255
191,451,255
767,451,255
768,451,255
191,452,255
768,452,255
769,452,255
191,453,255
769,453,255
191,454,255
192,454,255
769,454,255
192,455,255
769,455,255
770,455,255
771,455,255
772,455,255
773,455,255
192,456,255
193,456,255
768,456,255
769,456,255
773,456,255
193,457,255
773,457,255
193,458,255
194,458,255
773,458,255
194,459,255
771,459,255
772,459,255
773,459,255
774,459,255
775,459,255
194,460,255
775,460,255
194,461,255
195,461,255
196,461,255
197,461,255
198,461,255
775,461,255
197,462,255
198,462,255
775,462,255
197,463,255
775,463,255
196,464,255
197,464,255
775,464,255
196,465,255
775,465,255
776,465,255
777,465,255
778,465,255
196,466,255
778,466,255
196,467,255
778,467,255
196,468,255
778,468,255
194,469,255
195,469,255
196,469,255
778,469,255
194,470,255
777,470,255
778,470,255
779,470,255
780,470,255
781,470,255
782,470,255
194,471,255
782,471,255
194,472,255
782,472,255
194,473,255
195,473,255
782,473,255
194,474,255
195,474,255
781,474,255
782,474,255
193,475,255
194,475,255
781,475,255
193,476,255
780,476,255
781,476,255
193,477,255
780,477,255
193,478,255
780,478,255
193,479,255
780,479,255
781,479,255
193,480,255
781,480,255
193,481,255
194,481,255
781,481,255
782,481,255
194,482,255
782,482,255
194,483,255
782,483,255
194,484,255
782,484,255
194,485,255
782,485,255
783,485,255
194,486,255
195,486,255
783,486,255
784,486,255
195,487,255
784,487,255
785,487,255
195,488,255
196,488,255
197,488,255
785,488,255
197,489,255
785,489,255
197,490,255
785,490,255
197,491,255
783,491,255
784,491,255
785,491,255
196,492,255
197,492,255
783,492,255
784,492,255
785,492,255
786,492,255
195,493,255
196,493,255
786,493,255
192,494,255
193,494,255
194,494,255
195,494,255
786,494,255
192,495,255
786,495,255
192,496,255
786,496,255
192,497,255
785,497,255
786,497,255
192,498,255
193,498,255
785,498,255
193,499,255
194,499,255
785,499,255
194,500,255
195,500,255
199,500,255
200,500,255
785,500,255
195,501,255
196,501,255
197,501,255
198,501,255
199,501,255
200,501,255
785,501,255
786,501,255
787,501,255
200,502,255
787,502,255
200,503,255
787,503,255
200,504,255
201,504,255
202,504,255
787,504,255
202,505,255
203,505,255
785,505,255
786,505,255
787,505,255
203,506,255
784,506,255
785,506,255
203,507,255
204,507,255
205,507,255
783,507,255
784,507,255
205,508,255
782,508,255
783,508,255
205,509,255
206,509,255
782,509,255
783,509,255
206,510,255
207,510,255
783,510,255
206,511,255
207,511,255
208,511,255
783,511,255
206,512,255
783,512,255
206,513,255
783,513,255
206,514,255
783,514,255
206,515,255
780,515,255
781,515,255
782,515,255
783,515,255
205,516,255
206,516,255
781,516,255
205,517,255
781,517,255
205,518,255
781,518,255
782,518,255
783,518,255
205,519,255
783,519,255
205,520,255
206,520,255
207,520,255
783,520,255
784,520,255
207,521,255
784,521,255
207,522,255
784,522,255
785,522,255
207,523,255
785,523,255
207,524,255
208,524,255
209,524,255
785,524,255
209,525,255
785,525,255
209,526,255
210,526,255
784,526,255
785,526,255
210,527,255
211,527,255
785,527,255
211,528,255
212,528,255
785,528,255
212,529,255
785,529,255
212,530,255
213,530,255
214,530,255
785,530,255
214,531,255
215,531,255
784,531,255
785,531,255
786,531,255
215,532,255
786,532,255
215,533,255
786,533,255
215,534,255
786,534,255
215,535,255
216,535,255
217,535,255
785,535,255
786,535,255
217,536,255
218,536,255
785,536,255
218,537,255
219,537,255
785,537,255
219,538,255
220,538,255
783,538,255
784,538,255
785,538,255
220,539,255
221,539,255
783,539,255
221,540,255
222,540,255
223,540,255
783,540,255
223,541,255
224,541,255
782,541,255
783,541,255
223,542,255
780,542,255
781,542,255
782,542,255
223,543,255
780,543,255
223,544,255
780,544,255
223,545,255
777,545,255
778,545,255
779,545,255
780,545,255
223,546,255
224,546,255
225,546,255
226,546,255
777,546,255
226,547,255
777,547,255
226,548,255
771,548,255
772,548,255
773,548,255
774,548,255
775,548,255
776,548,255
777,548,255
226,549,255
227,549,255
228,549,255
229,549,255
770,549,255
771,549,255
229,550,255
230,550,255
231,550,255
232,550,255
770,550,255
232,551,255
233,551,255
768,551,255
769,551,255
770,551,255
233,552,255
234,552,255
764,552,255
765,552,255
766,552,255
767,552,255
768,552,255
234,553,255
235,553,255
236,553,255
764,553,255
236,554,255
237,554,255
238,554,255
239,554,255
761,554,255
762,554,255
763,554,255
764,554,255
239,555,255
240,555,255
760,555,255
761,555,255
240,556,255
759,556,255
760,556,255
240,557,255
241,557,255
242,557,255
243,557,255
244,557,255
758,557,255
759,557,255
244,558,255
245,558,255
758,558,255
245,559,255
756,559,255
757,559,255
758,559,255
245,560,255
249,560,255
756,560,255
245,561,255
246,561,255
247,561,255
248,561,255
249,561,255
250,561,255
251,561,255
755,561,255
756,561,255
251,562,255
755,562,255
251,563,255
252,563,255
253,563,255
750,563,255
751,563,255
755,563,255
253,564,255
748,564,255
749,564,255
750,564,255
751,564,255
752,564,255
753,564,255
754,564,255
755,564,255
253,565,255
747,565,255
748,565,255
253,566,255
254,566,255
255,566,255
746,566,255
747,566,255
255,567,255
256,567,255
257,567,255
747,567,255
257,568,255
747,568,255
257,569,255
258,569,255
259,569,255
260,569,255
742,569,255
743,569,255
747,569,255
260,570,255
261,570,255
262,570,255
742,570,255
743,570,255
744,570,255
745,570,255
746,570,255
747,570,255
262,571,255
742,571,255
262,572,255
742,572,255
262,573,255
263,573,255
740,573,255
741,573,255
742,573,255
263,574,255
264,574,255
740,574,255
263,575,255
739,575,255
740,575,255
263,576,255
739,576,255
263,577,255
738,577,255
739,577,255
263,578,255
264,578,255
265,578,255
737,578,255
738,578,255
265,579,255
266,579,255
734,579,255
735,579,255
736,579,255
737,579,255
266,580,255
734,580,255
266,581,255
734,581,255
266,582,255
267,582,255
268,582,255
269,582,255
270,582,255
734,582,255
270,583,255
710,583,255
722,583,255
723,583,255
724,583,255
725,583,255
726,583,255
727,583,255
728,583,255
729,583,255
730,583,255
731,583,255
732,583,255
733,583,255
734,583,255
270,584,255
271,584,255
710,584,255
711,584,255
712,584,255
713,584,255
714,584,255
718,584,255
719,584,255
720,584,255
721,584,255
722,584,255
271,585,255
272,585,255
273,585,255
274,585,255
275,585,255
710,585,255
714,585,255
715,585,255
716,585,255
717,585,255
718,585,255
275,586,255
707,586,255
708,586,255
709,586,255
710,586,255
275,587,255
282,587,255
703,587,255
704,587,255
705,587,255
706,587,255
707,587,255
275,588,255
276,588,255
277,588,255
278,588,255
279,588,255
280,588,255
281,588,255
282,588,255
283,588,255
284,588,255
703,588,255
284,589,255
285,589,255
702,589,255
703,589,255
285,590,255
286,590,255
287,590,255
288,590,255
699,590,255
700,590,255
701,590,255
702,590,255
288,591,255
289,591,255
290,591,255
291,591,255
292,591,255
293,591,255
294,591,255
295,591,255
439,591,255
700,591,255
295,592,255
296,592,255
438,592,255
439,592,255
700,592,255
296,593,255
421,593,255
422,593,255
433,593,255
434,593,255
435,593,255
436,593,255
437,593,255
438,593,255
439,593,255
700,593,255
296,594,255
297,594,255
298,594,255
299,594,255
300,594,255
301,594,255
302,594,255
306,594,255
313,594,255
314,594,255
320,594,255
321,594,255
421,594,255
422,594,255
429,594,255
430,594,255
431,594,255
432,594,255
433,594,255
439,594,255
440,594,255
689,594,255
700,594,255
302,595,255
303,595,255
304,595,255
305,595,255
306,595,255
307,595,255
308,595,255
309,595,255
310,595,255
311,595,255
312,595,255
313,595,255
314,595,255
315,595,255
316,595,255
317,595,255
318,595,255
319,595,255
320,595,255
321,595,255
356,595,255
418,595,255
419,595,255
420,595,255
421,595,255
422,595,255
423,595,255
424,595,255
425,595,255
429,595,255
440,595,255
441,595,255
448,595,255
684,595,255
685,595,255
689,595,255
690,595,255
697,595,255
698,595,255
699,595,255
700,595,255
321,596,255
322,596,255
323,596,255
328,596,255
329,596,255
350,596,255
351,596,255
352,596,255
353,596,255
354,596,255
355,596,255
356,596,255
357,596,255
361,596,255
416,596,255
417,596,255
418,596,255
425,596,255
426,596,255
427,596,255
428,596,255
429,596,255
441,596,255
442,596,255
443,596,255
444,596,255
445,596,255
446,596,255
447,596,255
448,596,255
678,596,255
683,596,255
684,596,255
685,596,255
689,596,255
690,596,255
697,596,255
323,597,255
324,597,255
329,597,255
330,597,255
331,597,255
337,597,255
338,597,255
339,597,255
340,597,255
341,597,255
342,597,255
346,597,255
347,597,255
348,597,255
349,597,255
350,597,255
357,597,255
358,597,255
359,597,255
360,597,255
361,597,255
362,597,255
363,597,255
371,597,255
372,597,255
413,597,255
414,597,255
415,597,255
416,597,255
448,597,255
677,597,255
678,597,255
679,597,255
680,597,255
681,597,255
682,597,255
683,597,255
685,597,255
686,597,255
687,597,255
688,597,255
689,597,255
690,597,255
691,597,255
692,597,255
697,597,255
324,598,255
329,598,255
331,598,255
335,598,255
336,598,255
337,598,255
342,598,255
343,598,255
344,598,255
345,598,255
346,598,255
363,598,255
364,598,255
365,598,255
366,598,255
370,598,255
371,598,255
372,598,255
373,598,255
409,598,255
410,598,255
411,598,255
412,598,255
413,598,255
448,598,255
452,598,255
453,598,255
454,598,255
463,598,255
677,598,255
692,598,255
693,598,255
694,598,255
695,598,255
696,598,255
697,598,255
324,599,255
329,599,255
331,599,255
332,599,255
333,599,255
334,599,255
335,599,255
366,599,255
367,599,255
368,599,255
369,599,255
370,599,255
373,599,255
405,599,255
409,599,255
448,599,255
449,599,255
450,599,255
451,599,255
452,599,255
454,599,255
455,599,255
456,599,255
457,599,255
462,599,255
463,599,255
674,599,255
675,599,255
676,599,255
677,599,255
324,600,255
325,600,255
326,600,255
327,600,255
328,600,255
329,600,255
373,600,255
374,600,255
387,600,255
405,600,255
406,600,255
407,600,255
408,600,255
409,600,255
457,600,255
458,600,255
459,600,255
460,600,255
461,600,255
462,600,255
463,600,255
464,600,255
465,600,255
466,600,255
467,600,255
674,600,255
374,601,255
375,601,255
381,601,255
387,601,255
388,601,255
389,601,255
390,601,255
391,601,255
402,601,255
403,601,255
404,601,255
405,601,255
467,601,255
468,601,255
469,601,255
470,601,255
471,601,255
672,601,255
673,601,255
674,601,255
375,602,255
376,602,255
377,602,255
378,602,255
379,602,255
380,602,255
381,602,255
387,602,255
391,602,255
392,602,255
393,602,255
398,602,255
399,602,255
400,602,255
401,602,255
402,602,255
471,602,255
664,602,255
665,602,255
666,602,255
671,602,255
672,602,255
381,603,255
382,603,255
383,603,255
384,603,255
385,603,255
386,603,255
387,603,255
393,603,255
394,603,255
395,603,255
396,603,255
397,603,255
398,603,255
471,603,255
664,603,255
666,603,255
667,603,255
668,603,255
669,603,255
670,603,255
671,603,255
471,604,255
472,604,255
473,604,255
663,604,255
664,604,255
472,605,255
660,605,255
661,605,255
662,605,255
663,605,255
472,606,255
660,606,255
472,607,255
658,607,255
659,607,255
660,607,255
472,608,255
473,608,255
474,608,255
475,608,255
476,608,255
477,608,255
483,608,255
489,608,255
490,608,255
491,608,255
658,608,255
477,609,255
478,609,255
483,609,255
488,609,255
489,609,255
491,609,255
492,609,255
654,609,255
655,609,255
656,609,255
657,609,255
658,609,255
478,610,255
479,610,255
480,610,255
481,610,255
482,610,255
483,610,255
484,610,255
485,610,255
486,610,255
487,610,255
488,610,255
492,610,255
654,610,255
492,611,255
493,611,255
