 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:83/128 - Series001,59.75,231.16,248.81,0.28,1.33,0.75,0.77
2,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:83/128 - Series001,42.92,151.90,257.37,0.34,1.67,0.60,0.80
3,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:83/128 - Series001,47.58,202.06,262.34,0.26,1.30,0.77,0.76
4,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:83/128 - Series001,107.20,191.43,267.45,0.55,1.04,0.96,0.89
5,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:83/128 - Series001,79.94,161.32,272.52,0.72,1.62,0.62,0.93
6,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:83/128 - Series001,35.15,172.57,278.41,0.43,1.15,0.87,0.82
7,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:83/128 - Series001,84.12,179.94,283.32,0.56,1.11,0.90,0.90
8,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:83/128 - Series001,43.80,169.03,282.69,0.56,1.45,0.69,0.88
9,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:83/128 - Series001,111.22,213.48,290.11,0.78,1.31,0.76,0.94
10,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:83/128 - Series001,156.99,188.50,291.01,0.59,1.56,0.64,0.89
11,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:83/128 - Series001,65.61,224.87,292.28,0.69,1.22,0.82,0.92
12,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:83/128 - Series001,85.29,204.25,298.73,0.41,1.59,0.63,0.83
