 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
37,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,124.72,145.80,190.48,0.38,1.22,0.82,0.86
38,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,138.89,237.99,197.30,0.31,1.77,0.56,0.81
39,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,31.19,156.98,192.07,0.35,1.91,0.52,0.79
40,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,81.59,251.93,195.72,0.60,1.33,0.75,0.91
41,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,30.14,224.92,195.30,0.38,1.23,0.81,0.75
42,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,157.59,131.84,201.27,0.40,1.23,0.81,0.89
43,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,120.92,238.64,209.50,0.42,1.56,0.64,0.87
44,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,47.35,222.54,207.94,0.48,1.22,0.82,0.85
45,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,40.48,142.94,207.64,0.29,1.44,0.70,0.76
46,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,40.98,118.43,213.64,0.35,1.47,0.68,0.81
47,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,30.21,220.23,212.98,0.63,1.68,0.60,0.89
