 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1,Segmentation:c:1/5 z:30/60 - Series004,119.27,89.25,59.63,0.33,1.81,0.55,0.87
2,Segmentation:c:1/5 z:30/60 - Series004,105.26,75.94,58.51,0.62,1.21,0.83,0.93
3,Segmentation:c:1/5 z:30/60 - Series004,57.16,61.74,66.76,0.37,1.49,0.67,0.84
4,Segmentation:c:1/5 z:30/60 - Series004,84.88,96.51,79.20,0.59,1.24,0.81,0.92
5,Segmentation:c:1/5 z:30/60 - Series004,47.50,65.90,89.83,0.47,1.34,0.74,0.86
6,Segmentation:c:1/5 z:30/60 - Series004,53.28,91.55,89.56,0.35,1.32,0.76,0.85
