 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1,Segmentation:c:1/5 z:28/55 - Series005,88.02,50.06,48.62,0.35,1.34,0.75,0.86
2,Segmentation:c:1/5 z:28/55 - Series005,145.14,71.71,51.89,0.59,1.19,0.84,0.94
3,Segmentation:c:1/5 z:28/55 - Series005,32.11,62.43,50.43,0.47,1.40,0.71,0.82
4,Segmentation:c:1/5 z:28/55 - Series005,115.09,42.30,54.35,0.68,1.29,0.78,0.95
5,Segmentation:c:1/5 z:28/55 - Series005,71.70,34.41,59.45,0.56,1.22,0.82,0.90
6,Segmentation:c:1/5 z:28/55 - Series005,104.02,81.08,64.58,0.70,1.14,0.88,0.94
7,Segmentation:c:1/5 z:28/55 - Series005,116.51,37.16,69.57,0.45,1.83,0.55,0.83
8,Segmentation:c:1/5 z:28/55 - Series005,88.33,78.69,74.79,0.62,1.04,0.96,0.94
9,Segmentation:c:1/5 z:28/55 - Series005,83.56,43.22,81.77,0.33,1.34,0.75,0.89
10,Segmentation:c:1/5 z:28/55 - Series005,72.05,66.95,82.61,0.42,1.10,0.91,0.88
11,Segmentation:c:1/5 z:28/55 - Series005,83.99,55.58,82.51,0.36,1.22,0.82,0.87
12,Segmentation:c:1/5 z:28/55 - Series005,40.20,62.56,88.79,0.45,1.58,0.63,0.85
13,Segmentation:c:1/5 z:28/55 - Series005,37.77,50.86,89.42,0.26,1.03,0.97,0.80
