 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1,Segmentation:c:1/5 z:27/55 - Series006,118.89,51.36,40.19,0.27,1.36,0.74,0.85
2,Segmentation:c:1/5 z:27/55 - Series006,98.53,64.35,40.95,0.38,1.09,0.91,0.88
3,Segmentation:c:1/5 z:27/55 - Series006,91.49,74.64,42.70,0.34,1.77,0.56,0.86
4,Segmentation:c:1/5 z:27/55 - Series006,134.79,39.95,46.38,0.61,1.31,0.76,0.94
5,Segmentation:c:1/5 z:27/55 - Series006,68.51,79.98,47.85,0.57,1.75,0.57,0.90
6,Segmentation:c:1/5 z:27/55 - Series006,78.78,34.57,56.13,0.42,1.17,0.85,0.87
7,Segmentation:c:1/5 z:27/55 - Series006,34.86,84.86,55.51,0.28,1.30,0.77,0.78
8,Segmentation:c:1/5 z:27/55 - Series006,61.42,31.21,64.54,0.60,1.30,0.77,0.91
9,Segmentation:c:1/5 z:27/55 - Series006,83.66,84.72,66.22,0.56,1.60,0.62,0.92
10,Segmentation:c:1/5 z:27/55 - Series006,96.05,35.67,73.31,0.61,1.38,0.72,0.93
11,Segmentation:c:1/5 z:27/55 - Series006,102.99,81.32,74.09,0.60,1.27,0.78,0.92
12,Segmentation:c:1/5 z:27/55 - Series006,53.12,73.20,81.83,0.42,1.45,0.69,0.89
13,Segmentation:c:1/5 z:27/55 - Series006,53.48,58.47,88.96,0.58,1.47,0.68,0.91
