 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1,Segmentation:c:1/5 z:39/79 - Series003,75.51,66.97,27.05,0.53,1.44,0.70,0.90
2,Segmentation:c:1/5 z:39/79 - Series003,99.55,53.31,29.88,0.74,1.28,0.78,0.94
3,Segmentation:c:1/5 z:39/79 - Series003,128.70,43.04,43.06,0.50,1.61,0.62,0.91
4,Segmentation:c:1/5 z:39/79 - Series003,56.18,100.59,62.13,0.39,1.31,0.77,0.85
5,Segmentation:c:1/5 z:39/79 - Series003,78.28,38.33,66.68,0.32,1.48,0.68,0.83
6,Segmentation:c:1/5 z:39/79 - Series003,100.86,94.82,73.64,0.49,1.13,0.88,0.87
7,Segmentation:c:1/5 z:39/79 - Series003,42.15,43.54,78.23,0.52,1.22,0.82,0.87
8,Segmentation:c:1/5 z:39/79 - Series003,67.71,86.74,84.03,0.48,1.39,0.72,0.88
9,Segmentation:c:1/5 z:39/79 - Series003,73.14,51.36,85.18,0.56,1.30,0.77,0.90
10,Segmentation:c:1/5 z:39/79 - Series003,73.25,60.41,87.96,0.36,1.19,0.84,0.84
11,Segmentation:c:1/5 z:39/79 - Series003,39.01,71.34,89.43,0.43,1.56,0.64,0.79
12,Segmentation:c:1/5 z:39/79 - Series003,44.46,77.13,90.46,0.50,1.11,0.90,0.89
