 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1,Segmentation:c:1/5 z:34/67 - Series009,107.24,97.42,44.25,0.69,1.41,0.71,0.94
2,Segmentation:c:1/5 z:34/67 - Series009,55.37,105.13,44.50,0.61,1.48,0.68,0.92
3,Segmentation:c:1/5 z:34/67 - Series009,47.39,115.28,43.31,0.55,1.10,0.91,0.87
4,Segmentation:c:1/5 z:34/67 - Series009,83.93,88.43,47.77,0.48,1.82,0.55,0.89
5,Segmentation:c:1/5 z:34/67 - Series009,46.39,110.86,47.68,0.50,2.10,0.48,0.88
6,Segmentation:c:1/5 z:34/67 - Series009,72.92,80.48,49.00,0.56,1.69,0.59,0.90
7,Segmentation:c:1/5 z:34/67 - Series009,90.31,73.06,50.07,0.78,1.35,0.74,0.94
8,Segmentation:c:1/5 z:34/67 - Series009,99.54,120.51,49.90,0.72,1.17,0.86,0.94
9,Segmentation:c:1/5 z:34/67 - Series009,87.00,129.79,54.90,0.67,1.21,0.83,0.92
10,Segmentation:c:1/5 z:34/67 - Series009,147.38,66.80,61.54,0.59,1.15,0.87,0.92
11,Segmentation:c:1/5 z:34/67 - Series009,117.69,129.20,64.14,0.71,1.54,0.65,0.92
12,Segmentation:c:1/5 z:34/67 - Series009,110.09,135.06,72.41,0.74,1.58,0.63,0.93
13,Segmentation:c:1/5 z:34/67 - Series009,116.97,60.94,76.37,0.60,1.17,0.86,0.90
14,Segmentation:c:1/5 z:34/67 - Series009,97.92,135.48,81.20,0.68,1.50,0.67,0.95
15,Segmentation:c:1/5 z:34/67 - Series009,83.28,62.70,86.93,0.78,1.05,0.96,0.94
16,Segmentation:c:1/5 z:34/67 - Series009,85.68,134.49,90.07,0.38,1.13,0.88,0.87
17,Segmentation:c:1/5 z:34/67 - Series009,91.22,67.50,94.91,0.70,1.18,0.85,0.92
18,Segmentation:c:1/5 z:34/67 - Series009,137.43,124.09,98.71,0.39,1.23,0.81,0.90
19,Segmentation:c:1/5 z:34/67 - Series009,74.45,74.09,101.58,0.55,1.17,0.85,0.88
20,Segmentation:c:1/5 z:34/67 - Series009,69.36,80.94,106.60,0.44,1.21,0.82,0.82
21,Segmentation:c:1/5 z:34/67 - Series009,237.47,108.67,109.93,0.43,1.29,0.78,0.89
22,Segmentation:c:1/5 z:34/67 - Series009,131.95,91.37,109.68,0.44,1.12,0.89,0.89
