 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1,Segmentation:c:1/5 z:30/60 - Series005,98.11,67.15,42.29,0.51,1.45,0.69,0.87
2,Segmentation:c:1/5 z:30/60 - Series005,67.04,57.78,42.95,0.47,1.28,0.78,0.89
3,Segmentation:c:1/5 z:30/60 - Series005,120.62,84.67,51.92,0.70,1.33,0.75,0.94
4,Segmentation:c:1/5 z:30/60 - Series005,86.49,51.29,52.24,0.58,1.26,0.79,0.93
5,Segmentation:c:1/5 z:30/60 - Series005,73.16,44.36,64.25,0.47,1.54,0.65,0.86
6,Segmentation:c:1/5 z:30/60 - Series005,60.17,90.96,69.02,0.46,1.34,0.75,0.85
7,Segmentation:c:1/5 z:30/60 - Series005,86.59,47.02,75.94,0.44,1.61,0.62,0.87
8,Segmentation:c:1/5 z:30/60 - Series005,76.33,56.95,87.74,0.49,1.19,0.84,0.89
9,Segmentation:c:1/5 z:30/60 - Series005,76.51,66.12,90.55,0.46,1.15,0.87,0.87
